image,video,minutage
i001,vout,
i002,v31,11.644978311644978
i003,v27,21.65498832165499
i004,vout,
i005,v40,7.640974307640975
i006,vout,
i007,vout,
i008,vout,
i009,v06,12.545879212545879
i010,vout,
i011,v06,12.045378712045379
i012,v25,0.16683350016683351
i013,v27,21.65498832165499
i014,v06,12.045378712045379
i015,v44,21.087754421087755
i016,v40,7.640974307640975
i017,vout,
i018,vout,
i019,vout,
i020,v40,7.640974307640975
i021,vout,
i022,vout,
i023,vout,
i024,v18,0.9342676009342676
i025,v06,11.21121121121121
i026,v37,3.2365699032365702
i027,vout,
i028,vout,
i029,v28,0.033366700033366704
i030,v06,11.778445111778446
i031,vout,
i032,v39,15.315315315315315
i033,vout,
i034,v18,0.9342676009342676
i035,v20,6.9402736069402735
i036,v25,0.16683350016683351
i037,vout,
i038,v44,9.20920920920921
i039,v31,11.644978311644978
i040,v06,11.778445111778446
i041,v25,0.16683350016683351
i042,v40,7.640974307640975
i043,v20,6.9402736069402735
i044,v06,12.045378712045379
i045,v06,12.045378712045379
i046,v06,11.511511511511513
i047,v25,2.4357691024357693
i048,vout,
i049,vout,
i050,vout,
i051,vout,
i052,v25,0.16683350016683351
i053,v06,11.778445111778446
i054,v27,21.65498832165499
i055,v18,0.9342676009342676
i056,vout,
i057,v06,12.045378712045379
i058,v25,0.16683350016683351
i059,v20,12.045378712045379
i060,v39,15.315315315315315
i061,v18,0.9342676009342676
i062,v06,12.045378712045379
i063,v41,2.569235902569236
i064,v06,11.778445111778446
i065,v20,6.9402736069402735
i066,v27,16.850183516850183
i067,v18,0.9342676009342676
i068,vout,
i069,v06,16.28294961628295
i070,vout,
i071,v06,12.045378712045379
i072,vout,
i073,v39,15.315315315315315
i074,v27,21.65498832165499
i075,vout,
i076,v06,12.045378712045379
i077,v44,7.140473807140474
i078,vout,
i079,v06,11.778445111778446
i080,v27,21.75508842175509
i081,v39,15.315315315315315
i082,vout,
i083,v06,12.84617951284618
i084,vout,
i085,vout,
i086,vout,
i087,v37,3.2365699032365702
i088,v20,10.11011011011011
i089,vout,
i090,vout,
i091,v06,11.778445111778446
i092,vout,
i093,vout,
i094,v20,10.01001001001001
i095,vout,
i096,vout,
i097,v27,16.950283616950284
i098,v18,0.9342676009342676
i099,v20,12.045378712045379
i100,vout,
i101,v44,9.20920920920921
i102,vout,
i103,v06,12.045378712045379
i104,v44,4.337671004337671
i105,vout,
i106,vout,
i107,vout,
i108,v45,12.045378712045379
i109,v25,0.16683350016683351
i110,v06,12.045378712045379
i111,v18,0.9342676009342676
i112,v49,8.041374708041374
i113,v06,11.511511511511513
i114,v39,18.11811811811812
i115,v44,9.20920920920921
i116,vout,
i117,v06,12.045378712045379
i118,v20,6.9402736069402735
i119,vout,
i120,v43,21.05438772105439
i121,v44,7.140473807140474
i122,vout,
i123,v10,9.676343009676343
i124,v06,12.045378712045379
i125,v06,2.2022022022022023
i126,v06,12.045378712045379
i127,vout,
i128,vout,
i129,vout,
i130,v25,0.16683350016683351
i131,v18,0.9342676009342676
i132,vout,
i133,v44,9.042375709042377
i134,v06,12.045378712045379
i135,vout,
i136,v06,11.511511511511513
i137,v20,10.01001001001001
i138,v20,6.9402736069402735
i139,v45,17.51751751751752
i140,v06,14.98164831498165
i141,v06,12.045378712045379
i142,v06,12.545879212545879
i143,v25,0.16683350016683351
i144,v41,2.569235902569236
i145,vout,
i146,vout,
i147,vout,
i148,v44,7.140473807140474
i149,vout,
i150,vout,
i151,v06,12.045378712045379
i152,v27,21.65498832165499
i153,v06,12.045378712045379
i154,vout,
i155,vout,
i156,vout,
i157,vout,
i158,vout,
i159,v49,8.041374708041374
i160,v06,12.045378712045379
i161,v20,6.9402736069402735
i162,vout,
i163,vout,
i164,v06,11.21121121121121
i165,v20,6.9402736069402735
i166,vout,
i167,vout,
i168,v06,11.778445111778446
i169,v27,16.850183516850183
i170,v06,12.045378712045379
i171,vout,
i172,v28,0.033366700033366704
i173,v06,12.045378712045379
i174,v40,7.640974307640975
i175,v40,7.640974307640975
i176,v06,11.21121121121121
i177,v27,21.65498832165499
i178,v44,7.140473807140474
i179,vout,
i180,v49,8.041374708041374
i181,v06,12.045378712045379
i182,v49,8.041374708041374
i183,v27,21.65498832165499
i184,v18,0.9342676009342676
i185,v28,0.033366700033366704
i186,v18,0.9342676009342676
i187,vout,
i188,v06,12.045378712045379
i189,vout,
i190,v20,6.9402736069402735
i191,v27,21.65498832165499
i192,v06,11.778445111778446
i193,vout,
i194,v39,15.315315315315315
i195,vout,
i196,v43,21.05438772105439
i197,v06,11.778445111778446
i198,v27,16.950283616950284
i199,v49,8.041374708041374
i200,vout,
